src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred,base_chrf,idiom_chrf,frozen_chrf,idiom_minus_base,frozen_minus_idiom
I don't want to be the blind leading the blind.,"Ich möchte nicht der Blinde sein, der die Blinden anführt.","Ich will nicht der Blinde sein, der Blinde führt.","Ich will nicht die Blinden sein, die die Blinden führen.","Ich will nicht die Blinden sein, die die Blinden führen.",61.162989945553925,47.65051867746015,47.65051867746015,-13.512471268093776,0.0
No wonder she is as pale as a ghost.,"Kein Wunder, dass sie so leichenblass ist.","Kein Wunder, dass sie so blass ist wie ein Geist.","Kein Wunder, dass sie blass wie ein Geist ist.","Kein Wunder, dass sie blass wie ein Geist ist.",70.89235627178512,60.19505557275146,60.19505557275146,-10.697300699033661,0.0
I had been sick and tired of his laziness.,Ich hatte die Nase voll von seiner Faulheit.,Ich war krank und müde von seiner Faulheit.,Ich hatte seine Faulheit satt und satt.,Ich hatte seine Faulheit satt.,50.57784601337878,42.16452537708909,43.00266533164816,-8.41332063628969,0.8381399545590682
"But before she could launch her charm offensive, Mr. Roper sat down across from her and grabbed her wrists.","Doch bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte ihre Handgelenke.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Mr. Roper ihr gegenüber und packte ihre Handgelenke.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte sich die Arme.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte ihr die Handgelenke.",90.15154030619576,82.17503056467451,92.991341648433,-7.976509741521241,10.816311083758492
"At the weekly cabinet meeting the following day, an enraged Mr. Schroder read his ministers the riot act.",Auf der wöchentlichen Kabinettssitzung am folgenden Tag verlas ein wütender Schröder seinen Ministern die Leviten.,Bei der wöchentlichen Kabinettssitzung am folgenden Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,Bei der wöchentlichen Kabinettssitzung am nächsten Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,Bei der wöchentlichen Kabinettssitzung am folgenden Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,77.67939789775677,69.81328330477575,77.67939789775677,-7.86611459298102,7.86611459298102
All it took was a dozen words to make me decide that I would not move for all the tea in China.,"Es brauchte nur ein Dutzend Worte, um mich zu entscheiden, dass ich um nichts in der Welt umziehen würde.","Alles, was es dauerte, war ein Dutzend Worte, um mich zu entscheiden, dass ich mich nicht für den ganzen Tee in China bewegen würde.","Alles, was nötig war, war ein Dutzend Worte, um mich zu der Entscheidung zu bringen, dass ich mich nicht für den ganzen Tee in China bewegen würde.","Es brauchten nur ein Dutzend Worte, um mich zu entscheiden, dass ich mich nicht für den ganzen Tee in China bewegen würde.",61.075095730558914,53.90674066135399,70.83311515179516,-7.168355069204921,16.926374490441162
Truly there are other fish in the sea and you'll only meet them if you come out with us tonight.,"Andere Mütter haben auch schöne Töchter, und du wirst sie nur kennenlernen, wenn du heute Abend mit uns ausgehst.","Es gibt wirklich noch andere Fische im Meer und du wirst sie nur treffen, wenn du heute Abend mit uns rauskommst.","In der Tat gibt es andere Fische im Meer, und Sie werden sie nur treffen, wenn Sie heute Abend mit uns ausgehen.","In der Tat gibt es andere Fische im Meer und Sie werden sie nur treffen, wenn Sie mit uns heute Abend kommen.",49.49949697658356,43.11363047061391,32.54496797420142,-6.385866505969645,-10.568662496412493
"New bank competitors have struggled to get off the ground, not helped by the caution of regulators.","Neue Bankkonkurrenten hatten es schwer, auf die Beine zu kommen, wozu auch die Vorsicht der Regulierungsbehörden beitrug.","Neue Bankkonkurrenten haben sich Mühe gegeben, um vom Boden zu kommen, nicht durch die Vorsicht der Regulierungsbehörden geholfen.","Neue Bankkonkurrenten haben sich Mühe gegeben, sich vom Boden zu lösen, was nicht mit der Vorsicht der Regulierungsbehörden zu tun hat.","Neue Bankkonkurrenten haben sich um den Boden gekümmert, was nicht mit der Vorsicht der Regulierungsbehörden zu tun hat.",61.62973090286361,55.7419417713368,55.92216194229491,-5.887789131526816,0.1802201709581155
He went from rags to riches when he inherited his uncle's fortune.,"Er wurde vom Tellerwäscher zum Millionär, als er das Vermögen seines Onkels erbte.","Er ging von Lumpen zu Reichtum, als er das Vermögen seines Onkels erbte.","Er ging von Lumpen zu Reichtümern, als er das Vermögen seines Onkels geerbt hatte.","Als er das Vermögen seines Onkels geerbt hatte, ging er von Lumpen zu Reichtümern.",54.9982965589533,49.2002243349767,45.97724859234085,-5.798072223976597,-3.222975742635853
"It would certainly be fun in an active family, with whom he would go through thick and thin.","Es wäre sicher lustig in einer aktiven Familie, mit der er durch dick und dünn gehen würde.","Es wäre sicherlich Spaß in einer aktiven Familie, mit der er durch dick und dünn gehen würde.","Es wäre sicherlich lustig in einer aktiven Familie, mit der er dick und dünn durchmachen würde.","Es wäre sicherlich lustig in einer aktiven Familie, mit der er dick und dünn durchmachen würde.",89.32339890616701,84.37119970308326,84.37119970308326,-4.952199203083751,0.0
My children have ants in their pants because tomorrow is Christmas and they are excited about their presents.,"Meine Kinder haben Hummeln im Hintern, denn morgen ist Weihnachten, und sie freuen sich auf ihre Geschenke.","Meine Kinder haben Ameisen in der Hose, denn morgen ist Weihnachten und sie freuen sich über ihre Geschenke.","Meine Kinder haben Ameisen im Hintern, denn morgen ist Weihnachten und sie sind begeistert von ihren Geschenken.","Meine Kinder haben Ameisen im Hintern, denn morgen ist Weihnachten und sie sind begeistert von ihren Geschenken.",71.19227743105951,66.45851241181634,66.45851241181634,-4.733765019243165,0.0
"Dad says I'm not cut out for the military, but I think I can thrive in such a structured environment.","Dad sagt, ich bin nicht fürs Militär gemacht, aber ich denke, ich kann in einer so strukturierten Umgebung aufblühen.","Dad sagt, ich bin nicht für das Militär geeignet, aber ich glaube, ich kann in einer so strukturierten Umgebung gedeihen.","Papa sagt, ich bin nicht für das Militär geschaffen, aber ich glaube, ich kann in einer so strukturierten Umgebung gedeihen.","Papa sagt, ich bin nicht für das Militär geeignet, aber ich glaube, ich kann in einer so strukturierten Umgebung gedeihen.",76.38658455224447,72.99063138035177,73.47967072120473,-3.3959531718926996,0.48903934085295475
"I put the cart before the horse, but I fixed it before it caused any problems.","Ich habe das Pferd beim Schwanz aufgezäumt, aber ich habe das Problem behoben, bevor es zu Problemen führte.","Ich habe den Wagen vor das Pferd gestellt, aber ich habe ihn repariert, bevor es Probleme verursacht hat.","Ich habe den Wagen vor das Pferd gelegt, aber ich habe ihn repariert, bevor er irgendwelche Probleme verursacht hat.","Ich habe den Wagen vor das Pferd gelegt, aber ich habe ihn repariert, bevor er irgendwelche Probleme verursachte.",44.0396973154164,41.20197943964398,41.936214044356454,-2.8377178757724195,0.7342346047124764
He was dead tired from his night shift.,Er war noch todmüde von seiner Nachtschicht.,Er war müde von seiner Nachtschicht.,Er war von seiner Nachtschicht todmüde.,Er war von seiner Nachtschicht todmüde.,75.93603946229929,73.38446220286848,73.38446220286848,-2.5515772594308146,0.0
Being put on the spot makes me nervous.,"Wenn ich in Verlegenheit gebracht werde, macht mich das nervös.","Mich auf den Punkt zu bringen, macht mich nervös.",Mich auf den Punkt zu bringen macht mich nervös.,Mich auf den Punkt zu bringen macht mich nervös.,32.83422119814396,30.911031318212224,30.911031318212224,-1.9231898799317335,0.0
"Jesus Christ! I will kill myself if I continue like this, I don't have a penny to my name!","Mein Gott! Ich bringe mich um, wenn ich so weitermache, ich bin völlig abgebrannt!","Ich werde mich umbringen, wenn ich so weitermache, habe ich keinen Penny für meinen Namen!","Herrgott! Ich werde mich selbst töten, wenn ich so weitermache, habe ich keinen Pfennig für meinen Namen!","Mein Gott! Ich werde mich umbringen, wenn ich so weitermache, habe ich keinen Pfennig an meinem Namen!",47.49017803849841,45.692207517176506,58.28938407647398,-1.7979705213219006,12.597176559297473
Dear Diary: Tomorrow I buckle down and hit the books.,Liebes Tagebuch: Morgen mache ich mich an die Arbeit und büffele.,Lieber Tagebuch: Morgen schnalle ich mich an und schlage die Bücher.,Lieber Tagebuch: Morgen schnalle ich mich zusammen und haue in die Bücher.,Lieber Tagebuch: Morgen schnalle ich mich zusammen und haue in die Bücher.,49.971683085388136,48.34457599795613,48.34457599795613,-1.6271070874320088,0.0
"For the young Canadian servicemen, the order to ship out to battle on a moment's notice was expected daily.","Die jungen kanadischen Soldaten erwarteten täglich den Befehl, kurzfristig in den Kampf zu ziehen.","Für die jungen kanadischen Soldaten wurde täglich der Befehl erwartet, in einen Kampf zu verschiffen.","Für die jungen kanadischen Soldaten wurde täglich der Auftrag erwartet, einen Moment im voraus in den Kampf zu verschiffen.","Für die jungen kanadischen Soldaten wurde täglich mit dem Auftrag gerechnet, einen Moment in den Kampf zu verschiffen.",60.80069959744389,59.251616901435774,53.739000259673084,-1.5490826960081137,-5.5126166417626905
"It was a great disaster, the family survived by a hair's breadth.","Es war eine große Katastrophe, die Familie überlebte um ein Haar.","Es war eine große Katastrophe, die Familie überlebte durch eine Haarbreite.","Es war eine große Katastrophe, die Familie überlebte mit einem Haar in der Breite.","Es war eine große Katastrophe, die Familie überlebte mit einem Haarbreite.",83.29780483940716,82.09461197903767,83.60415179901061,-1.203192860369498,1.509539819972943
