run_name,model_name,n_shots,split,bleu,chrf,n_eval,gen_kwargs,notes
flan_t5_small_prompt_0shot,google/flan-t5-small,0,idioms_eval,8.126810293457321,33.138795479524205,100,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",few-shot prompted baseline on idiom subset
flan_t5_small_prompt_3shot,google/flan-t5-small,3,idioms_eval,7.769177973296203,32.51758301307655,100,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",few-shot prompted baseline on idiom subset
flan_t5_small_prompt_5shot,google/flan-t5-small,5,idioms_eval,7.623039483156583,32.096459272914366,100,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",few-shot prompted baseline on idiom subset
flan_t5_small_prompt_0shot_wmt25,google/flan-t5-small,0,wmt_test,7.615427563841016,35.542535498334885,25,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",0-shot prompted baseline on canonical 25-example WMT14 subset
flan_t5_small_prompt_0shot,google/flan-t5-small,0,idioms_eval,8.126810293457321,33.138795479524205,100,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",few-shot prompted baseline on idiom subset
flan_t5_small_prompt_3shot,google/flan-t5-small,3,idioms_eval,7.769177973296203,32.51758301307655,100,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",few-shot prompted baseline on idiom subset
flan_t5_small_prompt_5shot,google/flan-t5-small,5,idioms_eval,7.623039483156583,32.096459272914366,100,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",few-shot prompted baseline on idiom subset
flan_t5_small_prompt_0shot_wmt25,google/flan-t5-small,0,wmt_test,7.615427563841016,35.542535498334885,25,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",0-shot prompted baseline on canonical 25-example WMT14 subset
flan_t5_small_prompt_3shot_wmt25,google/flan-t5-small,3,wmt_test,7.431623079796857,36.22497346319079,25,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",3-shot prompted baseline on canonical 25-example WMT14 subset
flan_t5_small_prompt_5shot_wmt25,google/flan-t5-small,5,wmt_test,4.958041805012363,29.858081430308292,25,"{'max_new_tokens': 64, 'do_sample': False, 'num_beams': 4, 'early_stopping': True}",5-shot prompted baseline on canonical 25-example WMT14 subset
