src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred,base_chrf,idiom_chrf,frozen_chrf,idiom_minus_base,frozen_minus_idiom
Not a word of all this to anyone!,Kein Wort von all dem zu irgendjemandem!,Kein Wort von all dem!,Kein Wort von all dem zu irgendjemandem!,Kein Wort von all dem zu irgendjemandem!,53.35296427307523,100.0,100.0,46.64703572692477,0.0
All part of the plan - to wear us down.,Alles Teil des Plans - um uns zu zermürben.,Alles Teil des Plans - uns niederzureißen.,Alles Teil des Plans - uns zu zermürben.,Alles Teil des Plans - um uns zu zermürben.,58.98580700021152,89.54922198440485,100.0,30.56341498419333,10.450778015595148
I need to finish my MBA to find a better job. It's like a millstone around my neck.,"Ich muss meinen MBA abschließen, um einen besseren Job zu finden. Das ist wie ein Mühlstein um meinen Hals.","Ich muss meinen MBA beenden, um einen besseren Job zu finden.","Ich muss meinen MBA beenden, um einen besseren Job zu finden. Es ist wie ein Mühlstein um meinen Hals.","Ich muss mein MBA beenden, um einen besseren Job zu finden. Es ist wie ein Mühlstein um meinen Hals.",53.13007253014711,82.74809063384336,79.56646990191612,29.61801810369625,-3.1816207319272394
It's not just one bad apple.,Es ist nicht nur ein fauler Apfel.,Es ist nicht nur ein schlechter Apfel.,Es ist nicht nur ein fauler Apfel.,Es ist nicht nur ein fauler Apfel.,72.87992208836471,100.0,100.0,27.120077911635292,0.0
"He fell apart after his wife died, I told him to pull himself together.","Nach dem Tod seiner Frau brach er zusammen, und ich sagte ihm, er solle sich zusammenreißen.","Er fiel auseinander, nachdem seine Frau gestorben war, ich sagte ihm, er solle sich zusammenreißen.","Nach dem Tod seiner Frau zerbrach er, und ich sagte ihm, er solle sich zusammenreißen.","Nachdem seine Frau gestorben war, zerbrach er, und ich sagte ihm, er solle sich zusammenreißen.",60.59771996636327,83.9951972588486,71.66213791652561,23.397477292485334,-12.333059342322997
"In trying to build a house by himself, he bit off more than he could chew","Als er versuchte, ein Haus zu bauen, übernahm er sich.","Bei dem Versuch, ein Haus alleine zu bauen, hat er mehr abgebissen, als er kauen konnte.","Als er versuchte, ein Haus allein zu bauen, hat er sich mehr weggebissen, als er kauen konnte","Als er versuchte, allein ein Haus zu bauen, hat er sich mehr von ihm abbeißen lassen, als er kauen konnte.",39.116701420397625,61.58978690815437,59.8154907992557,22.473085487756748,-1.7742961088986746
"All right, tell my public that Carl Denam, the bright boy... who was going to make a million dollars out of King Kong, is flat broke.","Also gut, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge... der mit King Kong eine Million Dollar verdienen wollte, völlig pleite ist.","In Ordnung, sag meiner Öffentlichkeit, dass Carl Denam, der kluge Junge, der eine Million Dollar aus King Kong verdienen wollte, flach pleite ist.","In Ordnung, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge, der aus King Kong eine Million Dollar verdienen wollte, pleite ist.","In Ordnung, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge, der eine Million Dollar aus King Kong verdienen würde, pleite ist.",61.27243143248799,79.73495132287081,71.075256896691,18.462519890382822,-8.659694426179811
Paula has her hands full with those kids.,Paula hat mit diesen Kindern alle Hände voll zu tun.,Paula hat ihre Hände voll mit diesen Kindern.,Paula hat alle Hände voll zu tun mit diesen Kindern.,Paula hat alle Hände voll zu tun mit diesen Kindern.,67.45546864713039,85.58644696481666,85.58644696481666,18.13097831768627,0.0
We're cut from the same cloth as any American who has a pioneer spirit.,"Wir sind aus dem gleichen Holz geschnitzt wie alle Amerikaner, die Pioniergeist haben.","Wir sind aus dem gleichen Tuch wie jeder Amerikaner, der Pioniergeist hat.","Wir sind aus demselben Stoff geschnitzt wie alle Amerikaner, die einen Pioniergeist haben.","Wir sind aus demselben Stoff geschnitzt wie jeder Amerikaner, der Pioniergeist hat.",60.117240110736546,77.04349765306173,61.83123921008745,16.92625754232519,-15.212258442974282
"Bend the knee, peasant! Admit that I am your rightful king!","Beuge das Knie, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!","Gib zu, dass ich dein rechtmäßiger König bin!","Kniebeugen, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!","Kniebeugen, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!",69.98802168202566,84.5340055326296,84.5340055326296,14.545983850603946,0.0
