src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred
Not a word of all this to anyone!,Kein Wort von all dem zu irgendjemandem!,Kein Wort von all dem!,Kein Wort von all dem zu irgendjemandem!,Kein Wort von all dem zu irgendjemandem!
I don't want to be the blind leading the blind.,"Ich möchte nicht der Blinde sein, der die Blinden anführt.","Ich will nicht der Blinde sein, der Blinde führt.","Ich will nicht die Blinden sein, die die Blinden führen.","Ich will nicht die Blinden sein, die die Blinden führen."
"Listen, Barbara Kopetski, we could play cat and mouse all night long, but I have more important things on my mind.","Hören Sie, Barbara Kopetski, wir könnten die ganze Nacht lang Katz und Maus spielen, aber ich habe wichtigere Dinge im Kopf.","Barbara Kopetski, wir könnten die ganze Nacht Katze und Maus spielen, aber ich habe wichtigere Dinge im Kopf.","Barbara Kopetski, wir könnten die ganze Nacht Katz und Maus spielen, aber ich habe wichtigere Dinge im Kopf.","Barbara Kopetski, wir könnten die ganze Nacht Katz und Maus spielen, aber ich habe wichtigere Dinge im Kopf."
"I don't want to alarm you, but I just heard from the horse's mouth that there's been an outbreak of the flu.","Ich möchte Sie nicht beunruhigen, aber ich habe gerade aus erster Hand erfahren, dass eine Grippewelle ausgebrochen ist.","Ich will Sie nicht beunruhigen, aber ich habe gerade aus dem Maul des Pferdes gehört, dass es einen Ausbruch der Grippe gab.","Ich möchte Sie nicht alarmieren, aber ich habe gerade aus dem Mund des Pferdes gehört, dass es einen Ausbruch der Grippe gegeben hat.","Ich möchte Sie nicht alarmieren, aber ich habe gerade aus dem Mund des Pferdes gehört, dass es einen Ausbruch der Grippe gegeben hat."
"I don't mean to rain on your parade, but I have some bad news.","Ich möchte Ihnen nicht in die Suppe spucken, aber ich habe schlechte Nachrichten.","Ich will nicht auf deine Parade regnen, aber ich habe schlechte Neuigkeiten.","Ich will nicht auf Ihre Parade regnen, aber ich habe schlechte Nachrichten.","Ich will nicht auf Ihre Parade regnen, aber ich habe schlechte Nachrichten."
"A whippersnapper is someone who is younger than you are but also irritatingly overconfident and impertinent, like your little smart aleck cousin.","Ein Grünschnabel ist jemand, der jünger ist als du, aber auch nervtötend überheblich und frech, wie dein kleiner, klugscheißender Cousin.","Ein Peitschernapper ist jemand, der jünger ist als du, aber auch irritierend überbewusst und unverschämt, wie dein kleiner kluger Aleck-Vetter.","Ein Peitschernapper ist jemand, der jünger ist als du, aber auch irritierend überbewusst und uneinig, wie dein kleiner schlauer Aleck-Vetter.","Ein Peitschernapper ist jemand, der jünger ist als du, aber auch irritierend überbewusst und unauffällig ist, wie dein kleiner schlauer Aleck-Vetter."
He was like a kid in a candy store when he saw the new video game.,"Er war wie ein Kind in einem Süßwarenladen, als er das neue Videospiel sah.","Er war wie ein Kind in einem Süßwarenladen, als er das neue Videospiel sah.","Er war wie ein Kind in einem Süßwarenladen, als er das neue Videospiel sah.","Er war wie ein Kind in einem Süßwarenladen, als er das neue Videospiel sah."
"I thought I could understand the theories, but it is all Greek to me.","Ich dachte, ich könnte die Theorien verstehen, aber ich verstehe nur Bahnhof.","Ich dachte, ich könnte die Theorien verstehen, aber es ist alles griechisch für mich.","Ich dachte, ich könnte die Theorien verstehen, aber für mich ist alles griechisch.","Ich dachte, ich könnte die Theorien verstehen, aber für mich ist alles griechisch."
All part of the plan - to wear us down.,Alles Teil des Plans - um uns zu zermürben.,Alles Teil des Plans - uns niederzureißen.,Alles Teil des Plans - uns zu zermürben.,Alles Teil des Plans - um uns zu zermürben.
He's been working late with her every night this week - I smell a rat.,Er hat diese Woche jeden Abend mit ihr lange gearbeitet - da ist etwas faul!,"Er hat diese Woche jede Nacht mit ihr gearbeitet, ich rieche eine Ratte.",Er hat diese Woche jede Nacht zu spät mit ihr gearbeitet - ich rieche eine Ratte.,Er hat diese Woche jede Nacht zu spät mit ihr gearbeitet - ich rieche eine Ratte.
"New bank competitors have struggled to get off the ground, not helped by the caution of regulators.","Neue Bankkonkurrenten hatten es schwer, auf die Beine zu kommen, wozu auch die Vorsicht der Regulierungsbehörden beitrug.","Neue Bankkonkurrenten haben sich Mühe gegeben, um vom Boden zu kommen, nicht durch die Vorsicht der Regulierungsbehörden geholfen.","Neue Bankkonkurrenten haben sich Mühe gegeben, sich vom Boden zu lösen, was nicht mit der Vorsicht der Regulierungsbehörden zu tun hat.","Neue Bankkonkurrenten haben sich um den Boden gekümmert, was nicht mit der Vorsicht der Regulierungsbehörden zu tun hat."
Lend an ear to what I am saying; you might need to know all this when you start working on your project.,"Spitze die Ohren zu dem, was ich sage, denn all das musst du wissen, wenn du mit der Arbeit an deinem Projekt beginnst.","Zeigen Sie mir ein Ohr, was ich sage, vielleicht müssen Sie all dies wissen, wenn Sie anfangen, an Ihrem Projekt zu arbeiten.","Hören Sie zu, was ich sage; Sie müssen das alles vielleicht wissen, wenn Sie anfangen, an Ihrem Projekt zu arbeiten.","Wenn Sie anfangen, an Ihrem Projekt zu arbeiten, müssen Sie das alles vielleicht wissen."
Truly there are other fish in the sea and you'll only meet them if you come out with us tonight.,"Andere Mütter haben auch schöne Töchter, und du wirst sie nur kennenlernen, wenn du heute Abend mit uns ausgehst.","Es gibt wirklich noch andere Fische im Meer und du wirst sie nur treffen, wenn du heute Abend mit uns rauskommst.","In der Tat gibt es andere Fische im Meer, und Sie werden sie nur treffen, wenn Sie heute Abend mit uns ausgehen.","In der Tat gibt es andere Fische im Meer und Sie werden sie nur treffen, wenn Sie mit uns heute Abend kommen."
I recommend you take a powder before things start getting dangerous.,"Ich empfehle Ihnen, sich aus dem Staub zu machen, bevor es gefährlich wird.","Ich empfehle Ihnen, ein Pulver zu nehmen, bevor es gefährlich wird.","Ich empfehle Ihnen, ein Pulver zu nehmen, bevor es gefährlich wird.","Ich empfehle Ihnen, ein Pulver zu nehmen, bevor es gefährlich wird."
At the heart of all of the basic questions about normality we shall find we are spinning our wheels.,"Bei allen grundlegenden Fragen zur Normalität werden wir feststellen, dass wir uns im Kreise drehen.","Im Mittelpunkt all der grundlegenden Fragen zur Normalität werden wir feststellen, dass wir unsere Räder drehen.","Im Mittelpunkt aller grundlegenden Fragen zur Normalität werden wir feststellen, dass wir uns im Kreis drehen.","Im Mittelpunkt all der grundlegenden Fragen zur Normalität werden wir feststellen, dass wir uns im Kreis drehen."
