model_label,split,comet_mean,comet_std,n,bleu,chrf,metrics_source_file
baseline,idioms_test,0.7325509977340698,0.13519150698362897,25,39.64935194574556,60.786111999956105,automatic_metrics_canonical.csv
flan_t5_small_prompt_0shot,idioms_test,0.3810179555416107,0.11853152601667913,25,8.126810293457321,33.138795479524205,automatic_metrics_canonical.csv
flan_t5_small_prompt_3shot,idioms_test,0.3634048980474472,0.10675818735349493,25,7.769177973296203,32.51758301307655,automatic_metrics_canonical.csv
flan_t5_small_prompt_5shot,idioms_test,0.37156787514686584,0.12720271783769052,25,7.623039483156583,32.096459272914366,automatic_metrics_canonical.csv
idiom_only_v1,idioms_test,0.7627165985107421,0.13369447023257072,25,44.16121039160048,64.43806053496827,automatic_metrics_canonical.csv
lora_r16_stage2,idioms_test,0.7326505565643311,0.14330445156203198,25,41.72424543678229,61.44982029049751,automatic_metrics_canonical.csv
lora_r4_stage2,idioms_test,0.7285794162750244,0.1520607948779105,25,41.85319732005698,61.836284051676685,automatic_metrics_canonical.csv
lora_r8_stage2,idioms_test,0.7320339667797089,0.147127530345413,25,42.1787655293237,61.760908613641895,automatic_metrics_canonical.csv
mixed_data_v1,idioms_test,0.7411647367477417,0.14657089852565194,25,43.49041276016722,62.92423421016756,metrics.csv
two_stage_frozen_v1,idioms_test,0.7609626340866089,0.135645177343823,25,43.15978726962502,63.341617550181375,automatic_metrics_canonical.csv
baseline,wmt_test,0.8331669282913208,0.11375276553170367,25,27.5679940288714,58.43184557779851,automatic_metrics_canonical.csv
flan_t5_small_prompt_0shot,wmt_test,0.4735755670070648,0.1386474026456127,25,7.615427563841016,35.542535498334885,automatic_metrics_canonical.csv
flan_t5_small_prompt_3shot,wmt_test,0.4899494814872742,0.15343194851143344,25,7.431623079796857,36.22497346319079,automatic_metrics_canonical.csv
flan_t5_small_prompt_5shot,wmt_test,0.43265960276126864,0.14255227986546515,25,4.958041805012363,29.85808143030829,automatic_metrics_canonical.csv
idiom_only_v1,wmt_test,0.8630717396736145,0.0707071492056961,25,26.540146766159747,58.23095853686714,automatic_metrics_canonical.csv
lora_r16_stage2,wmt_test,0.8468754220008851,0.09432139541206117,25,27.596422476853355,58.459373444561535,automatic_metrics_canonical.csv
lora_r4_stage2,wmt_test,0.8332906699180603,0.11422990992823064,25,27.56879719940044,58.4930625001082,automatic_metrics_canonical.csv
lora_r8_stage2,wmt_test,0.8422953557968139,0.10373473468113192,25,27.4803387263887,58.45979563899476,automatic_metrics_canonical.csv
mixed_data_v1,wmt_test,0.8515031242370605,0.08762287750851756,25,26.92052310552557,58.09564435179036,metrics.csv
two_stage_frozen_v1,wmt_test,0.846719081401825,0.09083521796261461,25,27.182380871327467,58.34207281103036,automatic_metrics_canonical.csv
