timestamp,run_name,split,bleu,chrf,model_name,learning_rate,epochs,batch_size,max_source_len,max_new_tokens,freeze_encoder,train_size,dev_size,seed,n_eval,notes,model_family
2026-02-19T18:12:49-08:00,baseline,idioms_test,39.6493519457456,60.7861119999561,Helsinki-NLP/opus-mt-en-de,,,16,256,128,False,800,100,42,100,pretrained baseline,Helsinki-NLP
2026-02-19T18:14:30-08:00,baseline,wmt_test,27.5679940288714,58.4318455777985,Helsinki-NLP/opus-mt-en-de,,,16,256,128,False,20000,2000,42,3003,pretrained baseline (WMT test full 3003),Helsinki-NLP
2026-02-19T18:15:28-08:00,idiom_only_v1,idioms_test,44.3632973675114,64.640646631657,/content/drive/MyDrive/ds266_idiom_mt/checkpoints/idiom_only_v1,5e-05,3.0,8,256,128,False,800,100,42,100,stage1 idiom-only fine-tune,Helsinki-NLP
2026-02-19T18:17:13-08:00,idiom_only_v1,wmt_test,26.5898562238025,58.2179836105578,/content/drive/MyDrive/ds266_idiom_mt/checkpoints/idiom_only_v1,5e-05,3.0,8,256,128,False,20000,2000,42,3003,stage1 idiom-only fine-tune (eval on WMT),Helsinki-NLP
2026-02-19T18:20:25-08:00,two_stage_frozen_v1,idioms_test,43.6091253897949,63.5028161842789,/content/drive/MyDrive/ds266_idiom_mt/checkpoints/two_stage_frozen_v1_stage2,5e-06,1.0,8,256,128,True,20000,2000,42,100,"stage2 general fine-tune, encoder frozen (eval on idioms)",Helsinki-NLP
2026-02-19T18:22:10-08:00,two_stage_frozen_v1,wmt_test,27.0960514750074,58.3027338104299,/content/drive/MyDrive/ds266_idiom_mt/checkpoints/two_stage_frozen_v1_stage2,5e-06,1.0,8,256,128,True,20000,2000,42,3003,"stage2 general fine-tune, encoder frozen (eval on WMT)",Helsinki-NLP
2026-02-19T22:04:56-08:00,baseline,idioms_test,39.3700155982438,59.9517341988576,facebook/nllb-200-distilled-1.3B,,,4,256,128,False,800,100,42,100,pretrained baseline,Facebook-NLLB
2026-02-19T22:22:54-08:00,baseline,wmt_test,29.3097472890886,60.1269018035933,facebook/nllb-200-distilled-1.3B,,,4,256,128,False,20000,2000,42,3003,pretrained baseline (WMT test full 3003),Facebook-NLLB
2026-02-19T22:48:56-08:00,idiom_only_v1,idioms_test,43.5521035523244,63.50018092078209,/content/drive/MyDrive/ds266_idiom_mt/checkpoints/idiom_only_v1,2e-05,2.0,4,256,128,False,800,100,42,100,stage1 idiom-only fine-tune,Facebook-NLLB
2026-02-19T23:01:37-08:00,idiom_only_v1,wmt_test,29.0838621844961,60.1324565565895,/content/drive/MyDrive/ds266_idiom_mt/checkpoints/idiom_only_v1,2e-05,2.0,4,256,128,False,20000,2000,42,3003,stage1 idiom-only fine-tune (eval on WMT),Facebook-NLLB
