src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred,base_chrf,idiom_chrf,frozen_chrf,idiom_minus_base,frozen_minus_idiom
Not a word of all this to anyone!,Kein Wort von all dem zu irgendjemandem!,Kein Wort von all dem!,Kein Wort von all dem zu irgendjemandem!,Kein Wort von all dem zu irgendjemandem!,53.35296427307523,100.0,100.0,46.64703572692477,0.0
All part of the plan - to wear us down.,Alles Teil des Plans - um uns zu zermürben.,Alles Teil des Plans - uns niederzureißen.,Alles Teil des Plans - uns zu zermürben.,Alles Teil des Plans - um uns zu zermürben.,58.98580700021152,89.54922198440485,100.0,30.56341498419333,10.450778015595148
It's not just one bad apple.,Es ist nicht nur ein fauler Apfel.,Es ist nicht nur ein schlechter Apfel.,Es ist nicht nur ein fauler Apfel.,Es ist nicht nur ein fauler Apfel.,72.87992208836471,100.0,100.0,27.120077911635292,0.0
Paula has her hands full with those kids.,Paula hat mit diesen Kindern alle Hände voll zu tun.,Paula hat ihre Hände voll mit diesen Kindern.,Paula hat alle Hände voll zu tun mit diesen Kindern.,Paula hat alle Hände voll zu tun mit diesen Kindern.,67.45546864713039,85.58644696481666,85.58644696481666,18.13097831768627,0.0
"Bend the knee, peasant! Admit that I am your rightful king!","Beuge das Knie, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!","Gib zu, dass ich dein rechtmäßiger König bin!","Kniebeugen, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!","Kniebeugen, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!",69.98802168202566,84.5340055326296,84.5340055326296,14.545983850603946,0.0
"Despite several bilateral and multilateral meetings, the four have not yet come up with the lowest common denominator likely to get the ball rolling","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht auf den kleinsten gemeinsamen Nenner geeinigt, der den Stein ins Rollen bringen könnte","Trotz mehrerer bilateraler und multilateraler Treffen haben die vier noch nicht den kleinsten gemeinsamen Nenner gefunden, der den Ball rollen lässt.","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht den kleinsten gemeinsamen Nenner ausgedacht, der den Ball ins Rollen bringen könnte","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht den kleinsten gemeinsamen Nenner ausgedacht, der den Ball ins Rollen bringen könnte.",71.83368204288506,85.30281485756701,85.18464366470602,13.469132814681956,-0.11817119286099853
"I don't mean to rain on your parade, but I have some bad news.","Ich möchte Ihnen nicht in die Suppe spucken, aber ich habe schlechte Nachrichten.","Ich will nicht auf deine Parade regnen, aber ich habe schlechte Neuigkeiten.","Ich will nicht auf Ihre Parade regnen, aber ich habe schlechte Nachrichten.","Ich will nicht auf Ihre Parade regnen, aber ich habe schlechte Nachrichten.",45.042256268185746,57.776647874961206,57.776647874961206,12.73439160677546,0.0
I knew I had my work cut out for me when I saw how messy the playroom was.,"Als ich sah, wie unordentlich das Spielzimmer war, wusste ich, dass ich alle Hände voll zu tun haben werde.","Ich wusste, dass meine Arbeit für mich ausgeschnitten war, als ich sah, wie chaotisch das Spielzimmer war.","Ich wusste, dass meine Arbeit gut für mich war, als ich sah, wie unordentlich das Spielzimmer war.","Ich wusste, dass meine Arbeit gut für mich war, als ich sah, wie unordentlich das Spielzimmer war.",45.41626994740284,58.12285094706014,58.12285094706014,12.706580999657298,0.0
"Dad said he'd be here to watch my baseball game, but he let me down again.","Papa hat gesagt, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich wieder hängen lassen.","Dad sagte, er wäre hier, um mir mein Baseballspiel anzusehen, aber er hat mich wieder im Stich gelassen.","Papa sagte, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich noch einmal im Stich gelassen.","Papa sagte, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich wieder enttäuscht.",61.25779646013857,73.6843063327367,76.65789300318275,12.426509872598125,2.9735866704460534
"""Your money or your life! I'm sorry, my dear, but you know it would kill me to lose my money,"""" said the partially deaf miser to his wife.""""""","""Geld oder Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"""", sagte der halb taube Geizhals zu seiner Frau.""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, es würde mich töten, mein Geld zu verlieren,"""" sagte der teilweise taube Geizhals zu seiner Frau.""""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"", sagte der zum Teil taube Geizknabe zu seiner Frau.""""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"", sagte der zum Teil taube Geizige zu seiner Frau.""",73.31340273190112,84.90213113110605,84.79441794420953,11.588728399204925,-0.10771318689651821
